,관광지,별점,리뷰수
679,여수해양공원,4.2,"2,661"
680,여수예술랜드리조트,4.2,315
681,이순신대교,4.1,"8,106"
682,신정호국민관광지,4.5,"1,062"
683,아산스파비스,3.7,"2,413"
684,두타연갤러리,3.6,29
685,한반도섬,3.9,49
686,을지전망대,4.2,506
687,제4땅굴,4.2,56
688,국토정중앙천문대,4.1,122
689,DMZ야생동물생태관,3.6,5
690,대가야생활촌,4.2,"1,081"
691,대가야역사테마관광지,4.2,"1,081"
692,고령 부례관광지,3.0,3
693,청도박물관,5.0,1
694,한국코미디타운,4.0,493
695,청도소싸움미디어체험관,4.2,802
696,청도 레일바이크,3.9,107
697,청도군 자전거공원 캠핑장,3.2,72
698,청도신화랑풍류마을,4.4,16
699,새마을운동발상지기념관,4.0,21
700,청도 소싸움경기장,3.8,5
701,영동와인터널,4.2,507
702,청도 프로방스,4.2,"1,211"
703,가산산성,4.3,415
704,가산산성야영장,4.3,23
705,칠곡군청 구상문학관,3.9,53
706,다부동 전적기념관,4.0,108
707,송정자연휴양림,4.1,304
708,칠곡보 오토캠핑장,3.8,9
709,칠곡호국평화기념관,4.5,2
710,칠곡양떼목장,4.2,81
711,가산수피아,4.2,198
712,국립칠곡숲체원,4.4,493
713,마곡사,4.4,"2,889"
714,공산성,4.5,"1,290"
715,지리산온천먹거리타운,4.0,3
716,계룡 사계고택,4.0,31
717,모원재,5.0,1
718,김달진미술연구소,4.0,8
719,이심원충신정려현판,4.2,38
720,두마신원재,4.0,31
721,광덕계곡,4.1,40
722,덕룡산 불회사,4.5,184
723,금성관길,,
724,도래 한옥마을,3.6,155
725,"종학당(정수루,숙사)",4.4,92
726,나주향교 대성전,4.0,90
727,나주 완사천,4.3,3
728,나주 목사내아 금학헌,4.2,498
729,진안 영모정,3.8,4
730,남고문,4.6,11
731,나주역,3.7,27
732,천주교 나주 노안 성당,4.4,36
733,한국천연염색박물관,3.5,2
734,나주목문화관,5.0,1
735,중흥골드스파&리조트,3.9,"1,365"
736,나주영상테마파크,3.7,19
737,나주 남파고택,4.1,81
738,나주 반남 고분군,4.0,4
739,백호문학관,4.1,10
740,국립나주박물관,4.0,1
741,영산포 역사갤러리,3.9,486
742,나주 복암리 고분 전시관,3.9,56
743,익산 춘포리 구 일본인 농장 가옥,3.0,1
744,빛가람전망대,4.3,"1,518"
